"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"3015","全漢","426,974","182","9,879,402","23.25","23.50","23.00","23.00","-","0.25","23.00","11","23.10","90","29.11",
"3016","嘉晶","14,773,205","8,827","1,053,661,259","69.00","73.30","69.00","69.50","+","1.20","69.50","107","69.60","15","1,390.00",
"3017","奇鋐","9,576,734","4,540","399,820,973","41.75","42.15","41.35","41.35","-","0.05","41.35","52","41.40","6","15.04",
"3018","同開","193,937","123","3,599,320","18.60","18.80","18.45","18.45","-","0.20","18.45","1","18.50","6","",
"3019","亞光","9,348,176","3,345","661,703,220","71.20","72.40","70.00","70.00","-","0.70","70.00","47","70.10","19","26.42",
"3021","鴻名","32,513","26","426,270","13.10","13.20","13.00","13.20","+","0.05","13.15","3","13.20","13","11.28",
"3022","威強電","429,094","278","19,008,658","45.30","45.30","43.60","43.60","-","1.20","43.55","1","43.60","256","11.63",
"3023","信邦","1,613,510","1,241","237,412,728","149.00","149.50","146.00","146.00","-","3.00","146.00","51","147.00","26","18.84",
"3024","憶聲","8,662,087","2,137","84,565,543","9.78","9.98","9.55","9.74","+","0.22","9.74","3","9.78","59","54.11",
"3025","星通","38,000","29","702,700","18.60","18.70","18.40","18.60","-","0.10","18.45","3","18.60","3","16.03",
"3026","禾伸堂","2,563,984","1,796","324,000,000","127.00","127.50","125.00","125.00","-","1.00","125.00","50","125.50","10","23.95",
"3027","盛達","342,744","128","2,961,594","8.66","8.71","8.59","8.68","+","0.02","8.63","1","8.68","2","",
"3028","增你強","120,001","72","2,314,269","19.45","19.45","19.20","19.30","-","0.15","19.30","28","19.35","7","19.90",
"3029","零壹","4,864,755","2,777","185,540,304","38.50","38.80","37.60","37.65","+","0.05","37.65","18","37.70","5","13.12",
"3030","德律","1,200,800","749","65,411,320","54.30","55.10","53.80","54.20","+","0.40","54.20","50","54.40","1","13.19",
"3031","佰鴻","981,594","493","15,060,288","15.75","15.80","15.05","15.05","-","0.50","15.05","16","15.10","13","12.54",
"3032","偉訓","264,001","120","8,092,880","30.85","30.85","30.55","30.65","+","0.10","30.65","15","30.70","11","11.52",
"3033","威健","827,272","324","13,034,012","15.60","16.00","15.55","15.70","+","0.20","15.70","35","15.75","22","20.93",
"3034","聯詠","10,815,712","6,247","2,406,560,852","217.00","226.00","216.50","222.00","+","6.50","222.00","133","222.50","1","16.53",
